ID,name,age,slug,description,is from,avatar
3,Cris Regatero,29,cris-regatero,"La podrás ver recomendándote novedades musicales en su formato 3x2, donde habla de artistas emergentes que deberás tener en cuenta; también en varios festivales, descubriendo nuevos cantantes que añadir a su playlist.","Madrid, España",media/2023/12/07/cris_regatero.jpg
2,Concha Buika,51,concha-buika,"Es una cantante ecuatoguineana-española. En 2022, fue galardonada con la Medalla de Oro al Mérito en las Bellas Artes que otorga el Ministerio de Cultura de España.",Guinea Ecuatorial / España,media/2023/12/07/concha_buika.jpg
1,Pablo Rouss,25,pablo-rouss,"El navarro es productor musical, compositor, ingeniero de sonido y cantante. El músico se encargó de algunas de las composiciones más populares de Belén Aguilera, como La Tirita, Inteligencia Emocional, Camaleón, Galgo y Antagonista.","Pamplona, Navarra, España",media/2023/12/06/pablo_rouss.jpg
